"Time (s)","Peak-Frequency"
4.219544985E1,2.343750000E2
4.229658031E1,6.375000000E3
4.239703816E1,6.796875000E2
4.249807470E1,1.406250000E2
4.259539562E1,2.812500000E2
4.269631746E1,4.687500000E2
4.279646831E1,1.640625000E2
4.289511746E1,5.156250000E2
4.299638431E1,2.109375000E2
4.309620493E1,3.046875000E2
4.319772639E1,2.109375000E2
4.329567446E1,1.996875000E4
4.339676862E1,1.640625000E2
4.349418616E1,1.989843750E4
4.359526454E1,2.765625000E3
4.369636793E1,1.406250000E2
4.379695039E1,1.996875000E4
4.389602462E1,1.985156250E4
4.399478800E1,1.406250000E2
4.409437654E1,4.078125000E3
4.419546185E1,2.578125000E2
4.429419562E1,1.989843750E4
4.439612916E1,2.027343750E4
4.449431039E1,1.985156250E4
4.459793539E1,2.109375000E2
4.469419231E1,2.812500000E2
4.479659354E1,1.171875000E2
4.489405716E1,1.171875000E2
4.499492639E1,1.171875000E2
4.509584893E1,3.984375000E3
4.519371746E1,1.406250000E2
4.529374031E1,1.171875000E2
4.539576270E1,1.875000000E2
4.549303077E1,6.796875000E2
4.559305716E1,1.171875000E2
4.569345746E1,1.406250000E2
4.579279539E1,2.343750000E2
4.589279900E1,3.281250000E2
4.599283416E1,3.046875000E2
4.609216146E1,1.640625000E2
4.619177723E1,4.687500000E2
4.629240670E1,4.218750000E2
4.639200246E1,4.687500000E2
4.649197170E1,4.687500000E2
4.659191570E1,2.109375000E2
4.669201016E1,2.109375000E2
4.679447839E1,1.875000000E2
4.689194493E1,1.171875000E2
4.699292762E1,4.218750000E2
4.709297962E1,2.109375000E2
4.719287446E1,2.109375000E2
4.729299108E1,2.109375000E2
4.739292485E1,2.109375000E2
4.749336923E1,1.171875000E2
4.759445877E1,2.578125000E2
4.769437785E1,1.406250000E2
4.779351623E1,7.500000000E2
4.789407316E1,1.171875000E2
4.799486400E1,2.022656250E4
4.810044516E1,1.992187500E4
4.819456770E1,1.640625000E2
4.829592177E1,2.343750000E2
4.839557439E1,4.031250000E3
4.849677531E1,1.982812500E4
4.860357531E1,1.406250000E2
4.869515593E1,3.937500000E3
4.879620023E1,1.987500000E4
4.889724400E1,1.994531250E4
4.899629870E1,2.578125000E2
4.909411439E1,2.109375000E2
4.919293662E1,1.640625000E2
4.929341777E1,7.031250000E1
4.939396185E1,5.625000000E2
4.949403408E1,1.406250000E2
4.959393016E1,1.406250000E2
4.969297200E1,1.406250000E2
4.979293293E1,6.093750000E2
4.989555416E1,1.171875000E2
4.999305046E1,1.171875000E2
5.009305939E1,2.343750000E2
5.019290739E1,2.578125000E2
5.029375285E1,1.406250000E2
5.039304185E1,2.022656250E4
5.049305562E1,1.875000000E2
5.059670370E1,2.343750000E2
5.069615777E1,2.343750000E2
5.079530646E1,1.982812500E4
5.089374123E1,1.999218750E4
5.099409077E1,2.032031250E4
5.109462893E1,1.989843750E4
5.119313231E1,2.578125000E2
5.129636423E1,3.515625000E2
5.139632093E1,3.515625000E2
5.149656823E1,1.987500000E4
5.160755077E1,3.750000000E2
5.169625970E1,1.406250000E2
5.179687477E1,9.375000000E1
5.189712985E1,4.218750000E2
5.199901908E1,1.406250000E2
5.209672339E1,2.578125000E2
5.219651470E1,1.640625000E2
5.229610708E1,1.640625000E2
5.240245008E1,2.343750000E2
5.251014670E1,1.987500000E4
5.260585323E1,1.406250000E2
5.269663754E1,2.343750000E2
5.279688916E1,2.343750000E2
5.289651693E1,1.640625000E2
5.299795631E1,3.914062500E3
