"Time (s)","Recording (a.u.)"
4.875000000E-3,3.204443495E-3
4.895833333E-3,-1.800592059E-3
4.916666667E-3,-6.805627613E-3
4.937500000E-3,-1.068147832E-2
4.958333333E-3,-9.521774957E-3
4.979166667E-3,-5.645924253E-3
5.000000000E-3,3.357036042E-3
5.020833333E-3,7.843256935E-3
5.041666667E-3,8.880886258E-3
5.062500000E-3,9.094515824E-3
5.083333333E-3,3.936887722E-3
5.104166667E-3,6.500442518E-3
5.125000000E-3,8.239997559E-4
5.145833333E-3,2.655110324E-3
5.166666667E-3,-1.983703116E-3
5.187500000E-3,-2.533036287E-3
5.208333333E-3,-3.509628590E-3
5.229166667E-3,-2.258369701E-3
5.250000000E-3,1.312295907E-3
5.270833333E-3,1.007110813E-3
5.291666667E-3,4.791405988E-3
5.312500000E-3,3.021332438E-3
5.333333333E-3,3.662221137E-4
5.354166667E-3,-1.098666341E-3
5.375000000E-3,-3.509628590E-3
5.395833333E-3,-5.401776177E-3
5.416666667E-3,-3.784295175E-3
5.437500000E-3,-6.744590594E-3
5.458333333E-3,-1.068147832E-3
5.479166667E-3,-1.770073550E-3
5.500000000E-3,1.434369945E-3
5.520833333E-3,3.479110080E-3
5.541666667E-3,1.861629078E-3
5.562500000E-3,4.455702383E-3
5.583333333E-3,-4.882961516E-4
5.604166667E-3,3.418073061E-3
5.625000000E-3,-1.709036531E-3
5.645833333E-3,1.098666341E-3
5.666666667E-3,5.798516800E-4
5.687500000E-3,4.333628346E-3
5.708333333E-3,7.354960784E-3
5.729166667E-3,4.058961760E-3
5.750000000E-3,3.967406232E-3
5.770833333E-3,-2.380443739E-3
5.791666667E-3,-5.615405744E-3
5.812500000E-3,-6.958220161E-3
5.833333333E-3,-8.697775201E-3
5.854166667E-3,-6.164738914E-3
5.875000000E-3,-5.340739158E-3
5.895833333E-3,-5.859553819E-3
5.916666667E-3,0.000000000E0
5.937500000E-3,-1.098666341E-3
5.958333333E-3,5.798516800E-3
5.979166667E-3,2.594073305E-3
6.000000000E-3,5.127109592E-3
6.020833333E-3,-3.021332438E-3
6.041666667E-3,-6.561479537E-3
6.062500000E-3,-5.676442763E-3
6.083333333E-3,-9.887997070E-3
6.104166667E-3,1.403851436E-3
6.125000000E-3,-2.960295419E-3
6.145833333E-3,6.012146367E-3
6.166666667E-3,3.570665609E-3
6.187500000E-3,4.516739402E-3
6.208333333E-3,8.423108615E-3
6.229166667E-3,2.655110324E-3
6.250000000E-3,4.882961516E-3
6.270833333E-3,-5.035554064E-3
6.291666667E-3,-6.744590594E-3
6.312500000E-3,-1.141392254E-2
6.333333333E-3,-1.388592181E-2
6.354166667E-3,-7.538071841E-3
6.375000000E-3,-6.836146123E-3
6.395833333E-3,1.434369945E-3
6.416666667E-3,3.143406476E-3
6.437500000E-3,3.051850948E-3
6.458333333E-3,7.477034822E-3
6.479166667E-3,-1.953184606E-3
6.500000000E-3,3.662221137E-3
6.520833333E-3,-4.028443251E-3
6.541666667E-3,-2.594073305E-3
6.562500000E-3,-2.594073305E-3
6.583333333E-3,-5.706961272E-3
6.604166667E-3,4.577776421E-3
6.625000000E-3,-1.220740379E-3
6.645833333E-3,1.034577471E-2
6.666666667E-3,6.103701895E-3
6.687500000E-3,8.789330729E-3
6.708333333E-3,5.462813196E-3
6.729166667E-3,-1.495406964E-3
6.750000000E-3,8.545182653E-4
6.770833333E-3,-4.455702383E-3
6.791666667E-3,2.716147343E-3
6.812500000E-3,1.373332926E-3
6.833333333E-3,1.770073550E-3
6.854166667E-3,1.525925474E-3
6.875000000E-3,-2.197332682E-3
6.895833333E-3,3.173924986E-3
6.916666667E-3,2.380443739E-3
6.937500000E-3,2.136295663E-3
6.958333333E-3,5.798516800E-4
6.979166667E-3,-9.613330485E-3
7.000000000E-3,-6.775109104E-3
7.020833333E-3,-9.582811975E-3
7.041666667E-3,-2.105777154E-3
7.062500000E-3,5.737479781E-3
7.083333333E-3,7.415997803E-3
7.104166667E-3,1.269569994E-2
7.125000000E-3,5.066072573E-3
7.145833333E-3,1.013214515E-2
7.166666667E-3,3.662221137E-3
7.187500000E-3,5.249183630E-3
7.208333333E-3,2.105777154E-3
7.229166667E-3,-1.403851436E-3
7.250000000E-3,-4.882961516E-4
7.270833333E-3,-3.479110080E-3
7.291666667E-3,2.014221625E-3
7.312500000E-3,1.037629322E-3
7.333333333E-3,3.662221137E-3
7.354166667E-3,5.066072573E-3
7.375000000E-3,2.716147343E-3
7.395833333E-3,1.617481002E-3
7.416666667E-3,-5.493331706E-4
7.437500000E-3,-1.770073550E-3
7.458333333E-3,-4.577776421E-4
7.479166667E-3,-4.425183874E-3
7.500000000E-3,2.746665853E-4
7.520833333E-3,-1.983703116E-3
7.541666667E-3,2.899258400E-3
7.562500000E-3,2.136295663E-3
7.583333333E-3,2.990813929E-3
7.604166667E-3,4.791405988E-3
7.625000000E-3,-9.155552843E-4
7.645833333E-3,6.256294443E-3
7.666666667E-3,-1.525925474E-3
7.687500000E-3,3.357036042E-3
7.708333333E-3,8.545182653E-4
7.729166667E-3,2.868739891E-3
7.750000000E-3,8.789330729E-3
7.770833333E-3,5.676442763E-3
7.791666667E-3,8.758812220E-3
7.812500000E-3,7.324442274E-4
7.833333333E-3,-1.190221870E-3
7.854166667E-3,-5.890072329E-3
7.875000000E-3,-7.354960784E-3
7.895833333E-3,-5.371257668E-3
7.916666667E-3,-5.371257668E-3
7.937500000E-3,-3.814813684E-3
7.958333333E-3,-2.471999268E-3
7.979166667E-3,-1.129184851E-3
8.000000000E-3,5.005035554E-3
8.020833333E-3,3.845332194E-3
8.041666667E-3,8.636738182E-3
8.062500000E-3,2.655110324E-3
8.083333333E-3,-8.850367748E-4
8.104166667E-3,-3.295999023E-3
8.125000000E-3,-7.904293954E-3
8.145833333E-3,1.831110569E-4
8.166666667E-3,-2.166814173E-3
8.187500000E-3,7.446516312E-3
8.208333333E-3,5.462813196E-3
8.229166667E-3,8.545182653E-3
8.250000000E-3,1.007110813E-2
8.270833333E-3,7.110812708E-3
8.291666667E-3,9.704886013E-3
8.312500000E-3,8.850367748E-4
8.333333333E-3,-6.408886990E-4
8.354166667E-3,-6.347849971E-3
8.375000000E-3,-9.338663900E-3
8.395833333E-3,-7.995849483E-3
8.416666667E-3,-6.164738914E-3
8.437500000E-3,-5.798516800E-4
8.458333333E-3,3.601184118E-3
8.479166667E-3,4.699850459E-3
8.500000000E-3,7.049775689E-3
8.520833333E-3,2.746665853E-3
8.541666667E-3,2.899258400E-3
8.562500000E-3,-1.831110569E-3
8.583333333E-3,-2.105777154E-3
8.604166667E-3,-3.051850948E-3
8.625000000E-3,-5.676442763E-3
8.645833333E-3,6.103701895E-4
8.666666667E-3,-2.166814173E-3
8.687500000E-3,5.798516800E-3
8.708333333E-3,4.913480026E-3
8.729166667E-3,7.538071841E-3
8.750000000E-3,5.493331706E-3
8.770833333E-3,2.441480758E-4
8.791666667E-3,-2.288888211E-3
8.812500000E-3,-5.432294687E-3
8.833333333E-3,-2.624591815E-3
8.854166667E-3,-1.922666097E-3
8.875000000E-3,1.342814417E-3
8.895833333E-3,-3.662221137E-4
8.916666667E-3,-8.239997559E-4
8.937500000E-3,-1.495406964E-3
8.958333333E-3,1.068147832E-3
8.979166667E-3,4.882961516E-4
9.000000000E-3,-7.019257179E-4
9.020833333E-3,-6.469924009E-3
9.041666667E-3,-9.796441542E-3
9.062500000E-3,-1.165807062E-2
9.083333333E-3,-8.178960540E-3
9.104166667E-3,-1.892147588E-3
9.125000000E-3,3.540147099E-3
9.145833333E-3,9.369182409E-3
9.166666667E-3,5.401776177E-3
9.187500000E-3,6.591998047E-3
9.208333333E-3,2.746665853E-3
9.229166667E-3,3.936887722E-3
9.250000000E-3,7.019257179E-4
9.270833333E-3,-2.441480758E-4
9.291666667E-3,-2.624591815E-3
9.312500000E-3,-5.584887234E-3
9.333333333E-3,-2.624591815E-3
9.354166667E-3,-2.899258400E-3
9.375000000E-3,4.272591327E-4
9.395833333E-3,7.934812464E-4
9.416666667E-3,2.655110324E-3
9.437500000E-3,-7.019257179E-4
9.458333333E-3,-1.220740379E-3
9.479166667E-3,-5.249183630E-3
9.500000000E-3,-3.601184118E-3
9.520833333E-3,-5.920590838E-3
9.541666667E-3,-4.882961516E-3
9.562500000E-3,-2.594073305E-3
9.583333333E-3,-1.525925474E-3
9.604166667E-3,1.831110569E-3
9.625000000E-3,1.037629322E-3
9.645833333E-3,4.181035798E-3
9.666666667E-3,4.882961516E-4
9.687500000E-3,3.631702628E-3
9.708333333E-3,5.188146611E-4
9.729166667E-3,1.525925474E-3
9.750000000E-3,1.068147832E-3
9.770833333E-3,1.739555040E-3
9.791666667E-3,5.737479781E-3
9.812500000E-3,7.263405255E-3
9.833333333E-3,8.789330729E-3
9.854166667E-3,5.432294687E-3
9.875000000E-3,1.831110569E-3
9.895833333E-3,-3.723258156E-3
9.916666667E-3,-6.195257424E-3
9.937500000E-3,-7.873775445E-3
9.958333333E-3,-4.516739402E-3
9.979166667E-3,-5.798516800E-3
1.000000000E-2,-2.502517777E-3
1.002083333E-2,-3.082369457E-3
1.004166667E-2,1.770073550E-3
1.006250000E-2,4.455702383E-3
1.008333333E-2,6.561479537E-3
1.010416667E-2,8.056886502E-3
1.012500000E-2,1.739555040E-3
1.014583333E-2,-3.051850948E-5
1.016666667E-2,-6.530961028E-3
1.018750000E-2,-3.021332438E-3
1.020833333E-2,-3.387554552E-3
1.022916667E-2,1.861629078E-3
1.025000000E-2,4.730368969E-3
1.027083333E-2,5.584887234E-3
1.029166667E-2,7.629627369E-3
1.031250000E-2,7.324442274E-3
1.033333333E-2,7.232886746E-3
1.035416667E-2,5.859553819E-3
1.037500000E-2,1.831110569E-4
1.039583333E-2,-4.547257912E-3
1.041666667E-2,-6.988738670E-3
1.043750000E-2,-1.022370067E-2
1.045833333E-2,-7.599108860E-3
1.047916667E-2,-5.493331706E-3
1.050000000E-2,7.629627369E-4
1.052083333E-2,2.441480758E-3
1.054166667E-2,7.019257179E-3
1.056250000E-2,4.882961516E-3
1.058333333E-2,5.371257668E-3
1.060416667E-2,1.617481002E-3
1.062500000E-2,-1.861629078E-3
1.064583333E-2,-5.188146611E-4
1.066666667E-2,-6.591998047E-3
1.068750000E-2,-9.155552843E-4
1.070833333E-2,-3.234962004E-3
1.072916667E-2,4.211554308E-3
1.075000000E-2,5.035554064E-3
1.077083333E-2,8.423108615E-3
1.079166667E-2,9.277626881E-3
1.081250000E-2,5.035554064E-3
1.083333333E-2,2.258369701E-3
1.085416667E-2,-2.197332682E-3
1.087500000E-2,-1.251258889E-3
1.089583333E-2,-1.861629078E-3
1.091666667E-2,1.861629078E-3
1.093750000E-2,8.545182653E-4
1.095833333E-2,2.441480758E-4
1.097916667E-2,-1.403851436E-3
1.100000000E-2,4.577776421E-4
1.102083333E-2,5.798516800E-4
1.104166667E-2,3.295999023E-3
1.106250000E-2,-2.929776910E-3
1.108333333E-2,-5.890072329E-3
1.110416667E-2,-1.074251534E-2
1.112500000E-2,-1.184118168E-2
1.114583333E-2,-5.127109592E-3
1.116666667E-2,-1.525925474E-3
1.118750000E-2,7.446516312E-3
1.120833333E-2,7.019257179E-3
1.122916667E-2,7.293923765E-3
1.125000000E-2,4.760887478E-3
1.127083333E-2,4.638813440E-3
1.129166667E-2,2.716147343E-3
1.131250000E-2,1.098666341E-3
1.133333333E-2,-4.272591327E-4
1.135416667E-2,-3.204443495E-3
